id,state,title,description,technologies,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,last_update
12194,NM,Public Utility Definition,"An entity that is not a regulated utility that resells natural gas or
electricity as motor fuel is not defined as a public utility. (Reference
[New Mexico Statutes](https://nmonesource.com/nmos/nmsa/en/nav_date.do)
62-3-4)
",ELEC,"<a href = 'https://www.nmlegis.gov/' target = '_blank'>House Bill 521, 2019</a>",<a href = 'http://public.nmcompcomm.us/nmnxtadmin/NMPublic.aspx' target = '_blank'>New Mexico Statutes 62-3-4</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12195,NM,Utility Electric Vehicle (EV) Support,"By January 1, 2021, and upon request by the New Mexico Public Regulation
Commission (Commission) thereafter, public utilities must file an
application to the Commission to expand transportation electrification.
Applications may include, but are not limited to, incentives to
facilitate the installation of EV charging infrastructure,
electrification of public fleet vehicles, EV charging rates, and
customer outreach and education programs. The Commission may approve
applications based on whether the proposed projects can be reasonably
expected to improve the electrical system efficiency of the public
utility, to increase access to electricity as a transportation fuel,
including in low income and underserved communities, to reduce air
pollution and greenhouse gas emissions, and to encourage consumer
adoption of EVs. (Reference [New Mexico
Statutes](https://nmonesource.com/nmos/nmsa/en/nav_date.do) 62-8)
",ELEC,"<a href = 'https://www.nmlegis.gov/' target = '_blank'>House Bill 521, 2019</a>",<a href = 'http://public.nmcompcomm.us/nmnxtadmin/NMPublic.aspx' target = '_blank'>New Mexico Statutes 62-3-4</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12199,ND,Electric Vehicle (EV) Fee,"EV owners must pay an annual fee in addition to other registration fees.
The fee is \$120 for all-electric vehicles, \$50 for plug-in hybrid
electric vehicles, and \$20 for electric motorcycles. Fees contribute to
the Highway Tax Distribution Fund. (Reference [North Dakota Century
Code](http://www.legis.nd.gov/general-information/north-dakota-century-code)
39-04)
",ELEC,"<a href = 'https://www.legis.nd.gov/' target = '_blank'>Senate Bill 2061, 2019</a>",<a href = 'http://www.legis.nd.gov/general-information/north-dakota-century-code' target = '_blank'>North Dakota Century Code 39-04</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12200,ND,Electric Vehicle (EV) Charging Signage and Parking Space Regulation,"A parking space designated for EVs must be indicated by signage approved
by the North Dakota Department of Transportation that indicates that it
is only for EV charging. The signage must be consistent with the U.S.
Department of Transportation Federal Highway Administration's Manual on
Uniform Traffic Control Devices.

An individual is not allowed to stop, stand, or park a motor vehicle
within any parking space specifically designated for parking and
charging EVs unless the motor vehicle is connected to the charger. A fee
of \$50 applies for non-EVs that park in spaces designated for EVs.

(Reference [North Dakota Century
Code](http://www.legis.nd.gov/general-information/north-dakota-century-code)
39-13-06 and 39-10-50.1)
",ELEC,"<a href = 'https://www.legis.nd.gov/' target = '_blank'>House Bill 1405, 2019</a>",<a href = 'http://www.legis.nd.gov/general-information/north-dakota-century-code' target = '_blank'>North Dakota Century Code 39-13-06</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12201,NM,Energy and Fuel Cost Savings Contracts,"Government fleets may finance alternative fuel vehicles or related
infrastructure through guaranteed utility savings contracts where
vehicle operational and fuel cost savings pay for the capital
investment. Guaranteed utility savings contracts must show that the cost
savings resulting from the alternative fuel and infrastructure projects
are equal to or higher than the annual contract payments. (Reference
[New Mexico Statutes](https://nmonesource.com/nmos/nmsa/en/nav_date.do)
6-23-2 and 6-23-3)
",ELEC,<a href = 'http://public.nmcompcomm.us/nmnxtadmin/NMPublic.aspx' target = '_blank'>New Mexico Statutes 6-23-2 and 6-23-3</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12203,OH,Electric Drive Vehicle Registration Fee,"Electric drive vehicles owners must pay an annual fee in addition to
other registration fees. The fee is \$200 for electric vehicles and
\$100 for hybrid electric vehicles.

(Reference [Ohio Revised Code 4501.01 and 4503.10](https://codes.ohio.gov/ohio-revised-code))",ELEC,"<a href = 'https://www.legislature.ohio.gov/' target = '_blank'>House Bill 62, 2019</a>",<a href = 'https://codes.ohio.gov/ohio-revised-code' target = '_blank'>Ohio Revised Code 4501.01 and 4503.10</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12205,AL,Electric Vehicle (EV) Fee,"EV owners must pay an annual fee in addition to standard registration
fees. All-electric vehicle owners must pay an annual fee of \$200 and
plug-in hybrid electric vehicle owners must pay an annual fee of \$100.
Beginning July 1, 2023 and every fourth year thereafter, EV fees will
increase by \$3. A portion of fees contribute to the Electric
Transportation Infrastructure Grant Program, which provides grants for
EV charging stations.

(Reference [Code of Alabama 40-12-242](http://alisondb.legislature.state.al.us/acas/ACASLogin.asp))",ELEC,"<a href = 'http://www.legislature.state.al.us/aliswww/default.aspx' target = '_blank'>House Bill 2, 2019</a>",<a href = 'http://alisondb.legislature.state.al.us/acas/ACASLogin.asp' target = '_blank'>Code of Alabama 40-12-242</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12206,AL,Electric Vehicle (EV) Charging Station Grant Program,"The Alabama Department of Transportation is authorized to administer the
Electric Transportation Infrastructure Grant Program to distribute
grants for EV charging station infrastructure expansion.

(Reference [Code of Alabama 40-12-242](http://alisondb.legislature.state.al.us/acas/ACASLogin.asp))",ELEC,"<a href = 'http://www.legislature.state.al.us/aliswww/default.aspx' target = '_blank'>House Bill 2, 2019</a>",<a href = 'http://alisondb.legislature.state.al.us/acas/ACASLogin.asp' target = '_blank'>Code of Alabama 40-12-242</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12207,MS,Energy Performance Contract Authorization,"Public entities in Mississippi are authorized to enter into energy
services and performance contracts to pay for energy efficiency
improvements with energy savings, including savings from the use of
alternative fuel vehicles and related infrastructure.

(Reference [Mississippi Code 31-7-14](http://www.lexisnexis.com/hottopics/mscode/))",ELEC,"<a href = 'http://billstatus.ls.state.ms.us/20181E/pdf/mainmenu.htm' target = '_blank'>Senate Bill 2876, 2019</a>",<a href = 'http://www.lexisnexis.com/hottopics/mscode/' target = '_blank'>Mississippi Code 31-7-14</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12211,WA,Utility Electric Transportation Plan Authorization,"The governing authority or commission of an electric utility may adopt
an electric transportation plan that proves that utility outreach and
investment in the electrification of transportation infrastructure does
not increase net costs to ratepayers in excess of 0.025%. The governing
authority or commission may consider items such as the impact of
electrification on the utilities load, demand response and load
management opportunities, system reliability and distribution system
efficiencies, and interoperability concerns. Upon making this
determination, electric utilities may offer incentive programs for
customers. (Reference [Revised Code of
Washington](https://apps.leg.wa.gov/rcw/) 35.92.450)
",ELEC,"<a href = 'https://apps.leg.wa.gov/rcw/' target = '_blank'>Revised Code of Washington 35.92 Section 2, 54.16 Section 3</a>","<a href = 'http://leg.wa.gov/' target = '_blank'>House Bill 1512, 2019</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12213,IA,Electric Vehicle (EV) Fee,"EV owners must pay an annual fee in addition to standard registration
fees. All-electric EV owners must pay an annual fee of \$130 and plug-in
hybrid electric vehicle owners must pay an annual fee of \$65.

(Reference [Iowa Code 321.116](http://www.legis.iowa.gov/))",ELEC,"<a href = 'https://www.legis.iowa.gov/' target = '_blank'>House File 767, 2019</a>",<a href = 'http://www.legis.iowa.gov/' target = '_blank'>Iowa Code 321.116</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12215,ME,Electric Vehicle (EV) Charging Station Funding,"Efficiency Maine offers a rebate of \$350 to government and non-profit
entities for the purchase of Level 2 EV charging stations. Applicants
are awarded one rebate per port and may receive a maximum of two
rebates. EV charging stations must be purchased between December 21,
2020, an August 31, 2022. EV charging stations along specific roads and
at locations that will likely experience frequent use will be
prioritized.

The program is funded by Maine's portion of the [Volkswagen (VW)
Environmental Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement).
For more information, including how to apply and priority site
characteristics, see the Efficiency Maine [Electric Vehicle
Initiatives](https://www.efficiencymaine.com/at-work/electric-vehicle-supply-equipment-initiative/)
website.

(Reference [Maine Revised Statutes Title 35-A, Section 10127](http://www.mainelegislature.org/legis/statutes/))",ELEC,"<a href = 'http://www.mainelegislature.org/legis/statutes/' target = '_blank'>Maine Revised Statutes Title 35-A, Section 10127</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12216,NV,"Idle Reduction Technology, Natural Gas Vehicle, and Plug-in Electric Vehicle Weight Exemption","Any motor vehicle equipped with an auxiliary power unit or other
qualified idle reduction technology may exceed the maximum gross vehicle
weight limit by up to 550 pounds (lbs.) to compensate for the additional
weight of the idle reduction technology. Natural gas vehicles and
plug-in electric vehicles may exceed the maximum gross vehicle weight
limit for comparable conventional fuel vehicles by up to 2,000 lbs.
(Reference [Nevada Revised Statutes](https://www.leg.state.nv.us/)
484D.635)
",ELEC,"<a href = 'https://www.leg.state.nv.us' target = '_blank'>Assembly Bill 377, 2019</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12219,MD,Zero Emission School Bus Grant Program and Study,"The Maryland Department of the Environment (MDE) administers a Zero
Emission School Bus Transition Grant Program to purchase zero emission
school buses, install charging infrastructure, and transition to zero
emission school bus fleets. MDE and the Maryland Department of
Transportation also provide technical assistance to county boards of
education transitioning school buses to zero emission vehicles
throughout the state.

(Reference [Maryland Statutes, Environmental Code 2-1501 and 2-1503](http://mgaleg.maryland.gov/mgawebsite/))",ELEC,"<a href = 'http://mgaleg.maryland.gov/webmga/frm1st.aspx?tab=home' target = '_blank'>House Bill 1255, 2019</a>","<a href = 'http://mgaleg.maryland.gov/mgawebsite/' target = '_blank'>Maryland Statutes, Environmental Code 2-1501 and 2-1503</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12220,MT,Public Utility Electric Vehicle (EV) Charging Station Authorization,"Montana utilities joined the National Electric Highway Coalition (NEHC),
committing to create a network of direct current fast charging (DCFC)
charging stations connecting major highway systems from the Atlantic
Coast to the Pacific of the United States. NEHC utility members agree to
ensure efficient and effective fast charging deployment plans that
enable long distance EV travel, avoiding duplication among coalition
utilities, and complement existing corridor DCFC sites. For more
information, including a list of participating utilities and states, see
the [NEHC](https://www.eei.org/issuesandpolicy/Pages/NEHC.aspx) website.
",ELEC,"<a href = 'https://leg.mt.gov/' target = '_blank'>House Bill 456, 2019</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12222,WA,Green Transportation Grant Program,"The Washington State Department of Transportation (WSDOT) offers grants
for projects that reduce the carbon intensity of the Washington
transportation system, including fleet electrification, modification or
replacement of facilities to facilitate fleet electrification and
hydrogen fueling, upgrades to electrical transmission and distribution
systems, and constructing of charging and fueling infrastructure. To be
eligible, a transit authority must provide matching funding of at least
20% of the total cost of the project. For more information, including
funding availability and program dates, see the WSDOT [Green
Transportation Capital
Grants](https://wsdot.wa.gov/transit/grants/green-transportation-capital)
(Reference [Revised Code of Washington](http://apps.leg.wa.gov/rcw/)
47.66.120)
",ELEC,"<a href = 'http://leg.wa.gov/' target = '_blank'>House Bill 2042, 2019</a>",<a href = 'http://apps.leg.wa.gov/rcw/' target = '_blank'>Revised Code of Washington 47.66</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12224,WA,Alternative Fuel Vehicle (AFV) Retail Sales and Use Tax Exemption,"The sale or lease of new or used passenger vehicles, light-duty trucks,
and medium-duty passenger AFVs is exempt from the state retail sales and
use tax. Eligible AFVs include those powered by natural gas, propane,
hydrogen, or electricity. To be eligible, new vehicles may not be valued
above \$45,000 and used vehicles may not be valued above \$30,000. The
tax exemption may apply to all or a portion of the vehicle's value. The
maximum eligible amount for used purchased or leased vehicles is
\$16,000. The Maximum exemption amounts for vehicles are as follows:

::: {align=""center""}
  Purchase or Lease Year           Maximum New Vehicle Price Eligible for Exemption   Maximum Leased Vehicle Price Eligible for Exemption
  -------------------------------- -------------------------------------------------- -----------------------------------------------------
  August 1, 2021 - July 31, 2023   \$20,000                                           \$16,000
  August 1, 2023 - July 31, 2025   \$15,000                                           \$16,000
:::

For more information, see the Renewable Energy/Green Incentives section
of Washington Department of Revenue\'s [Incentives
Programs](https://dor.wa.gov/find-taxes-rates/tax-incentives/incentive-programs)
website.

(Reference [Revised Code of Washington](http://apps.leg.wa.gov/rcw/)
82.12.9999)
",ELEC,"<a href = 'http://leg.wa.gov/' target = '_blank'>House Bill 2042, 2019</a>",<a href = 'http://apps.leg.wa.gov/rcw/' target = '_blank'>Revised Code of Washington 82.08.020</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12225,WA,Alternative Fuel Vehicle (AFV) Technical Assistance and Education Program,"The Washington State University (WSU) [Energy
Program](http://www.energy.wsu.edu/) must establish and administer a
technical assistance and education program on the use of AFVs for public
agencies, including state and local governments. For more information,
visit the WSU Energy Program [Green Transportation
Program](http://www.energy.wsu.edu/GreenTransportationProgram.aspx)
website. (Reference [Revised Code of
Washington](http://apps.leg.wa.gov/rcw/) 28B.30.903)
",ELEC,"<a href = 'http://apps.leg.wa.gov/' target = '_blank'>House Bill 2042, 2019</a>",<a href = 'http://apps.leg.wa.gov/rcw/' target = '_blank'>Revised Code of Washington 28B.30.903</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12227,HI,Alternative Fuel Vehicle (AFV) Registration,"Owners of plug-in electric vehicles and AFVs must pay an annual fee of
\$50, in addition to standard registration fees. Fees contribute to the
State Highway Fund.

(Reference [Hawaii Revised Statutes 249-31](https://www.capitol.hawaii.gov/))",ELEC,"<a href = 'https://www.capitol.hawaii.gov/' target = '_blank'>Senate Bill 409, 2019</a>",<a href = 'https://www.capitol.hawaii.gov/' target = '_blank'>Hawaii Revised Statutes 249-31</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12230,VT,Electric Vehicle (EV) Incentive,"The Vermont Agency of Transportation provides financial incentives to
low- and moderate-income residents for the purchase or lease of a new EV
with a base manufacturer's suggested retail price of \$40,000 or less,
on a first-come, first-served basis. Incentives are offered in the
following amounts:

**Tax Filing Status**

**Adjusted Gross Income (AGI) Limits for Enhanced and Standard
Incentives**

**State Incentive Amount**

**Plug-in Hybrid Electric Vehicle**

**All-Electric Vehicle**

Individual filing as single or head of household; or Married filing
separately

\$50,000 or less

\$3,000

\$4,000

\$50,001 up to \$100,000

\$1,500

\$2,500

Married filing jointly; or Individual filing as qualifying widower

\$75,000 or less

\$3,000

\$4,000

\$75,001 up to \$125,000

\$1,500

\$2,500

Incentives are limited to one per individual or married couple.
Additional terms and conditions apply. For more information, including
application and eligibility requirements, visit the [Drive Electric
Vermont](https://www.driveelectricvt.com/) website.

(Reference [Act 55, 2019](https://legislature.vermont.gov/), [Act 154, 2020](https://legislature.vermont.gov/), [Act 55, 2021](https://legislature.vermont.gov/), and [Act 184](https://legislature.vermont.gov/))",ELEC,"<a href = 'https://legislature.vermont.gov/' target = '_blank'>Act 55, 2019</a>","<a href = 'https://legislature.vermont.gov/' target = '_blank'>Act 154, 2020</a>","<a href = 'https://legislature.vermont.gov/' target = '_blank'>Act 55, 2021</a>",<a href = 'https://legislature.vermont.gov/' target = '_blank'>Act 184</a>,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12231,VT,Fuel-Efficient Vehicle and Emission Reduction Incentives,"The Vermont Agency of Transportation (VTrans) administers the High Fuel
Efficiency Used-Vehicle Program,
[MileageSmart](https://www.mileagesmartvt.org/), which provides
incentives of up to \$5,000 to replace eligible vehicles with a
pre-owned vehicle that has a U.S. Environmental Protection Agency (EPA)
combined city/highway fuel economy of at least 40 miles per gallon
(mpg).

VTrans also offers vouchers of up to \$2,500 for the repair of vehicles
that failed the on-board diagnostic (OBD) systems inspection. Eligible
vehicles for replacement include those that have failed the OBD systems
inspection or those that are more than 15 years old and have an EPA
combined city/highway fuel economy of less than 25 mpg. Eligible
vehicles for a repair voucher are those that have failed the OBD systems
inspection, require repairs that are not under warranty, and will be
able to pass the inspection once the repairs are made. For more
information on the emissions repair program, visit the VTrans [Statewide
Vehicle Incentives
Programs](https://vtrans.vermont.gov/planning/projects-programs/vehicle-incentives)
website. The emissions repair program must be operational by January 1,
2023.

(Reference [Act 59, 2019](https://legislature.vermont.gov/) and [Act 55, 2021](https://legislature.vermont.gov/))",ELEC,"<a href = 'https://legislature.vermont.gov/' target = '_blank'>Act 59, 2019</a>","<a href = 'https://legislature.vermont.gov/' target = '_blank'>Act 55, 2021</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12233,VT,Public Utility Definition,"An entity that supplies electricity to the public exclusively to charge
plug-in electric vehicles is not defined as a public utility and may
charge for this electricity by the kilowatt-hour.

(Reference [Vermont Statutes Title 30, Chapter 5, Section 203](https://legislature.vermont.gov/statutes/))",ELEC,"<a href = 'https://legislature.vermont.gov/' target = '_blank'>House Bill 529, 2019</a>","<a href = 'https://legislature.vermont.gov/statutes/' target = '_blank'>Vermont Statutes Title 30, Chapter 5, Section 203</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12241,NV,Electric Vehicle (EV) Charging Station Grant Authorization,"Utilities are authorized to offer public school districts grants of up
to 75% of the cost of EV charging station installation on school
property or the purchase of all-electric school buses. (Reference
[Nevada Revised Statutes](https://www.leg.state.nv.us/) 701B.670)
",ELEC,"<a href = 'https://www.leg.state.nv.us/' target = '_blank'>Senate Bill 299, 2019</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12242,KY,Public Utility Definition,"An entity that owns or operates an electric vehicle charging station is
not defined as a public utility.

(Reference [Kentucky Public Service Commission Case No. 2018-00372](https://psc.ky.gov/))",ELEC,<a href = 'https://psc.ky.gov/' target = '_blank'>Kentucky Public Service Commission Case No. 2018-00372</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12246,CO,Electric Vehicle (EV) Parking Regulations ,"Any vehicle that is not actively charging may not park in designated EV
charging parking spaces. An EV is presumed to not be charging if it is
parked at a charging station and is not connected to the charger for
longer than 30 minutes. Some exclusions apply, including for EVs parked
at lodging or airports, and between the hours of 11pm and 5am. The
penalty for violation is \$182. (Reference [Colorado Revised
Statutes](http://www.lexisnexis.com/hottopics/Colorado/) 42-4-1213, and
42-4-1701)

(Reference [Colorado Revised Statutes 42-1-102, 42-4-1213, and 42-4-1701](http://www.lexisnexis.com/hottopics/Colorado/))",ELEC,"<a href = 'https://leg.colorado.gov/' target = '_blank'>House Bill 19-1298, 2019</a>","<a href = 'http://www.lexisnexis.com/hottopics/Colorado/' target = '_blank'>Colorado Revised Statutes 42-1-102, 42-4-1213, and 42-4-1701</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12248,IA,Electricity Dealer License,"Beginning on July 1, 2023, a person may not sell or dispense electricity
as a vehicle fuel at a location other than a residence or otherwise act
as a licensed electricity fuel dealer or user unless the person holds a
valid license issued by the Iowa Department of Revenue (Department). To
obtain a license, a person must file an application with the Department.
(Reference [House File](https://www.legis.iowa.gov/) 767, 2019, and
[Iowa Code](http://www.legis.iowa.gov/) 452A.42)
",ELEC,"<a href = 'https://www.legis.iowa.gov/' target = '_blank'>House File 767, 2019</a>",<a href = 'http://www.legis.iowa.gov/' target = '_blank'>Iowa Code 452A.42</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12250,CO,Public Electric Utility Services Authorization ,"Public electric utilities may provide electricity to charge electric
vehicles (EVs) as unregulated or regulated services and may recover the
costs of distribution system and infrastructure investments to
accommodate EV charging. The Colorado Public Utilities Commission (PUC)
must evaluate the impact EV charging revenue has on utility retail
rates, which cannot exceed 0.5% of the total annual revenue requirements
of the utility.

Public electric utilities are required to file an application with the
PUC for widespread transportation electrification programs every three
years. Programs may include investments or incentives to facilitate the
deployment of customer- or utility-owned EV charging stations and
associated electrical equipment, support the electrification of public
transit and other vehicle fleets, create rate designs or programs that
encourage EV charging, and conduct customer education, outreach, and
incentive programs that increase awareness of transportation
electrification.

(Reference [Colorado Revised Statutes 41-1-103.3, 41-3-116, and 40-5-107](http://www.lexisnexis.com/hottopics/Colorado/))",ELEC,"<a href = 'https://leg.colorado.gov/' target = '_blank'>Senate Bill 19, 077, 2019</a>","<a href = 'http://www.lexisnexis.com/hottopics/Colorado/' target = '_blank'>Colorado Revised Statutes 41-1-103.3, 41-3-116, and 40-5-107</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12251,CO,Transportation Impacts Stakeholder Group,"The Colorado Department of Transportation (CDOT) will convene and engage
with a stakeholder group to examine and address impacts of new
transportation technologies and business models. The topics include
funding transportation infrastructure needed to support the adoption of
zero-emission vehicles (ZEV) and incentivizing the adoption of ZEVs for
use in commercial applications. In 2019, CDOT and the Colorado Energy
Office published a
[report](https://www.codot.gov/library/studies/emerging-mobility-impact-study/emis-documents/2019-emis-report.pdf)
on the progress and policy recommendations of the stakeholder group.

(Reference [Colorado Revised Statutes 43-1-125](http://www.lexisnexis.com/hottopics/Colorado/))",ELEC,"<a href = 'https://leg.colorado.gov/' target = '_blank'>Senate Bill 19-239, 2019</a>",<a href = 'http://www.lexisnexis.com/hottopics/Colorado/' target = '_blank'>Colorado Revised Statutes 43-1-125</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12254,IL,Battery Electric Vehicle (BEV) Fee,"BEV owners must pay an annual fee of \$100 in addition to standard
registration fees. A portion of the fees contribute to the Illinois Road
Fund.

(Reference [625 Illinois Compiled Statutes 5/3-805](http://www.ilga.gov/legislation/ilcs/ilcs.asp))",ELEC,"<a href = 'http://www.ilga.gov/' target = '_blank'>Senate Bill 1939, 2019</a>",<a href = 'http://www.ilga.gov/legislation/ilcs/ilcs.asp' target = '_blank'>625 Illinois Compiled Statutes 5/3-805</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12257,CA,Zero-Emission Transit Bus Requirement,"By 2040, all public transit agencies must transition to 100%
zero-emission bus fleets. Zero-emission bus technologies include
battery-electric or fuel cell electric. Transit agencies must purchase
or operate a minimum number of zero-emission buses according to the
following schedules:

::: {data-align=""center""}
                                                          Large Transit Agency                                                                             Small Transit Agency
  ----------------- ------------------------------------------------------------------------------------------------ ------------------------------------------------------------------------------------------------
  January 1, 2023    25% of the total number of new bus purchases in each calendar year must be zero-emission buses                                           No requirement
  January 1, 2026    50% of the total number of new bus purchases in each calendar year must be zero-emission buses   25% of the total number of new bus purchases in each calendar year must be zero-emission buses
  January 1, 2029                          All new bus purchases must be zero-emission buses                                                All new bus purchases must be zero-emission buses
:::

Each transit agency will submit a plan demonstrating how it will
purchase clean buses, develop infrastructure, train personnel, and other
required details. Large transit agencies must submit a plan in 2020 and
small agencies must submit a plan in 2023. Additional rules and
requirements apply.

For more information, including definitions of large and small transit
agencies and additional terms and conditions, see the California Air
Resources Board's [Innovative Clean
Transit](https://ww3.arb.ca.gov/msprog/ict/ict.htm) website.

(Reference [California Code of Regulations](http://www.oal.ca.gov/)
Title 13, Section 2023.1)
",ELEC,"<a href = 'http://www.oal.ca.gov/' target = '_blank'>California Code of Regulations Title 13, Section 2023.1</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12258,CA,Zero-Emission Airport Shuttle Requirement,"By 2035, all airport fixed-route shuttle fleets must transition to 100%
zero-emission vehicles (ZEVs). Zero-emission shuttle technologies
include battery-electric or fuel cell electric technologies. Starting in
2022, shuttle fleets must report the details of their vehicles to the
California Air Resources Board (CARB). Starting in 2023, if fleets
replace a ZEV shuttle, the replacement must be a ZEV. For additional
terms and conditions, see CARB's [Zero-Emission Airport
Shuttle](https://ww2.arb.ca.gov/our-work/programs/zero-emission-airport-shuttle)
website. (Reference [Resolution Number](http://www.oal.ca.gov/) 19-8,
2019)
",ELEC,"<a href = 'http://www.oal.ca.gov/' target = '_blank'>Resolution Number 19-8, 2019</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12268,KS,Electric Vehicle (EV) and Hybrid Electric Vehicle (HEV) Fees,"Beginning January 1, 2020, the annual registration fee for EVs is \$100
and \$50 for plug-in hybrid electric vehicles and HEVs.

(Reference [Kansas Statutes 8-143](http://www.kslegislature.org/li/))",ELEC,"<a href = 'http://www.kslegislature.org/li/' target = '_blank'>House Bill 2214, 2019</a>",<a href = 'http://www.kslegislature.org/li/' target = '_blank'>Kansas Statutes 8-143</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12275,ME,Electric Vehicle (EV) Rebates,"Efficiency Maine's EV Accelerator provides rebates to Maine residents,
businesses, government entities, and tribal governments for the purchase
or lease of a new EV or plug-in hybrid electric vehicle (PHEV) at
participating Maine dealerships. Rebate amounts are based on participant
type:

::: {data-align=""center""}
  Type of Vehicle   Individuals, Businesses, Organizations   Qualified Low-Income Maine Resident   Maine Governmental Entity or Tribal Government   Non-Profit Organizations
  ----------------- ---------------------------------------- ------------------------------------- ------------------------------------------------ --------------------------
  EV                \$2,000                                  \$5,500                               \$7,500                                          \$7,500
  PHEV              \$1,000                                  \$4,000                               \$2,000                                          \$2,000
:::

Qualified low-income residents are also eligible for a rebate of up to
\$2,500 for the purchase of a used EV or PHEV. Vehicles must be
purchased or leased between December 21, 2020, and August 31, 2022. The
program is funded by Maine's portion of the [Volkswagen (VW)
Environmental Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement).
For more information, including eligible vehicles and preapproval
requirements, see Efficiency Maine's [Electric Vehicle
Initiatives](https://www.efficiencymaine.com/ev/) website.

(Reference [Maine Revised Statutes Title 35-A, Section 10126](http://www.mainelegislature.org/legis/statutes/))",ELEC,"<a href = 'http://www.mainelegislature.org/legis/statutes/' target = '_blank'>Maine Revised Statutes Title 35-A, Section 10126</a>","<a href = 'http://legislature.maine.gov/' target = '_blank'>House Paper 442, 2019</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12277,NV,Electric Vehicle (EV) Parking Space Regulation,"An individual may not park a motor vehicle within any parking space
specifically designated for charging EVs. To use the parking space, EVs
must be actively charging. Violators may receive a fine of up to \$750.
(Reference [Nevada Revised Statutes](https://www.leg.state.nv.us/)
484B.468)
",ELEC,"<a href = 'https://www.leg.state.nv.us/' target = '_blank'>Senate Bull 248, 2019</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12280,CT,Electric Vehicle (EV) Parking Requirement ,"An individual may not park a motor vehicle in a parking space equipped
with a public charging station unless that vehicle is a EV. An
infraction applies for non-EVs that park in spaces with public charging
stations.

(Reference [Connecticut General Statutes 16-19ggg](http://www.cga.ct.gov/))",ELEC,"<a href = 'https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB-7140' target = '_blank'>House Bill 7140, 2019</a>",<a href = 'https://www.cga.ct.gov/2019/act/pa/pdf/2019PA-00161-R00HB-07140-PA.pdf' target = '_blank'>Public Act 19-161</a>,<a href = 'http://www.cga.ct.gov/' target = '_blank'>Connecticut General Statutes 16-19ggg</a>,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
